date_time,search_count,job_id,job_title,company,location,update_time,applicants,job_time,job_level,job_type,company_size,company_industry,job_details
19Jun2024-15:15:55,250,3914440537,BI Einstein Developer,Koch Industries,"Bengaluru, Karnataka, India",Reposted 3 weeks ago,93 applicants,,,On-site Full-time Entry level,"10,001+ employees",Oil and Gas,"DAX, Dashboards, Data Analytics, Databases, Extract, Transform, Load (ETL), Microsoft Power BI, Oracle SQL Developer, QlikView, SQL Server Analysis Services (SSAS), and Transact-SQL (T-SQL)"
19Jun2024-15:15:57,250,3941417173,Data Management Engineer,Koch Industries,"Bengaluru, Karnataka, India",2 weeks ago,29 applicants,,,On-site Full-time Entry level,"10,001+ employees",Oil and Gas,"Data Engineering, Data Science, Data Warehousing, Databases, and Extract, Transform, Load (ETL)"
19Jun2024-15:15:59,250,3920852471,Data Engineer,Koch Industries,"Bengaluru, Karnataka, India",Reposted 2 weeks ago,Over 100 applicants,,,On-site Full-time Entry level,"10,001+ employees",Oil and Gas,"Data Engineering, Data Science, Data Warehousing, Databases, and Extract, Transform, Load (ETL)"
19Jun2024-15:16:01,250,3920752522,Data Engineer - 2415D,Enverus,"Bengaluru, Karnataka, India",Reposted 2 weeks ago,Over 100 applicants,,,On-site Full-time Entry level,"1,001-5,000 employees",Software Development,"Apache Spark, Communication, Computer Science, Data Engineering, Data Science, Databases, Extract, Transform, Load (ETL), Query Writing, Responsiveness, and Software Development"
19Jun2024-15:16:03,250,3931123859,Market Data Engineer,Millennium,"Bengaluru, Karnataka, India",Reposted 6 days ago,Over 100 applicants,,,On-site Full-time Entry level,"5,001-10,000 employees",Investment Management,"Amazon Web Services (AWS), Communication, Data Engineering, Data Science, Good Clinical Practice (GCP), Google Cloud Platform (GCP), Internet Protocol Suite (TCP/IP), Linux, Microsoft Azure, and Transmission Control Protocol (TCP)"
19Jun2024-15:16:05,250,3943451373,Data Engineer,Uniphore,"Bengaluru, Karnataka, India",1 week ago,Over 100 applicants,,,Full-time Entry level,"501-1,000 employees","Technology, Information and Internet","Data Engineering, Data Manipulation, Data Modeling, Data Models, Data Science, Data Warehousing, Databases, Extract, Transform, Load (ETL), Google Cloud Platform (GCP), and SOAP"
19Jun2024-15:16:07,250,3936811768,Data Scientist,Organic Mandya,"Bengaluru, Karnataka, India",3 weeks ago,Over 100 applicants,,,On-site Full-time,201-500 employees,,"Analytics, C++, Data Modeling, Java, Modeling, Predictive Modeling, Programming, Python (Programming Language), Quantitative Analytics, and SQL"
19Jun2024-15:16:09,250,3879332801,Associate - US Analytics & Reporting Admin,AstraZeneca,"Bengaluru East, Karnataka, India",Reposted 6 days ago,Over 100 applicants,,,Full-time Entry level,"10,001+ employees",Pharmaceutical Manufacturing,"Data Modeling, IT Accessibility, Privacy Regulations, Qlik NPrinting, Qlik Sense, Snowflake, Snowflake Cloud, Usability, Veeva, and Veeva CRM"
19Jun2024-15:16:11,250,3934276831,Data Scientist,Concentrix,"Bengaluru, Karnataka, India",3 weeks ago,Over 100 applicants,,,On-site Full-time Entry level,"10,001+ employees",IT Services and IT Consulting,"Amazon Web Services (AWS), Data Modeling, Data Science, Large Language Models (LLM), Machine Learning, Natural Language Processing (NLP), Python (Programming Language), Scala, and Time Series Analysis"
19Jun2024-15:16:13,250,3921601060,Engineering Tools License Management Specialist,PHINIA,"Bengaluru, Karnataka, India",Reposted 1 week ago,15 applicants,,,Full-time Entry level,"10,001+ employees",Motor Vehicle Manufacturing,"Communication, Dashboards, Data Engineering, Data-driven Decision Making, Driving Results, Identifying Trends, License Management, Negotiation, Problem Solving, and Software Licensing"
19Jun2024-15:16:15,250,3883384532,Data Science,Infosys,"Bengaluru East, Karnataka, India",Reposted 3 weeks ago,Over 100 applicants,,,On-site Full-time Entry level,"10,001+ employees",IT Services and IT Consulting,"Analytics, Artificial Intelligence (AI), Data Analytics, Data Collection, Data Preparation, Data Science, Data Visualization, Machine Learning, R (Programming Language), and Statistics"
19Jun2024-15:16:17,250,3607812205,Group Manager – Data Science,WNS,"Bengaluru, Karnataka, India",Reposted 3 weeks ago,Over 100 applicants,,,On-site Full-time Entry level,"10,001+ employees",Outsourcing and Offshoring Consulting,"Analytics, BFSI, Business Requirements, Communication, Data Wrangling, Defining Requirements, Knowledge Acquisition, Model Development, NumPy, and Pandas (Software)"
19Jun2024-15:16:19,250,3950211185,Data Scientist,upliance.ai,"Bengaluru, Karnataka, India",3 days ago,Over 100 applicants,,,On-site Full-time Entry level,11-50 employees,Household Appliance Manufacturing,"Data Analytics, Python (Programming Language), and SQL"
19Jun2024-15:16:21,250,3829982829,Advanced Data Science Associate,ZS,"Bengaluru, Karnataka, India",Reposted 1 week ago,Over 100 applicants,,,Full-time Entry level,"10,001+ employees",Business Consulting and Services,"Analytics, Communication, Computer Science, Data Analytics, Data Science, Database Systems, Databases, Datasets, Problem Solving, and Quantitative Analytics"
19Jun2024-15:16:23,250,3919895312,Assc Analytics & Model Analyst,Moody's Corporation,"Bengaluru, Karnataka, India",Reposted 3 weeks ago,Over 100 applicants,,,On-site Full-time Entry level,"10,001+ employees",Financial Services,"Analytics, ArcGIS Desktop, Data Analytics, Data Science, Data Visualization, GIS Software, Geographic Information Systems (GIS), Process Enhancement, Remote Sensing, and SQL"
19Jun2024-15:16:25,250,3945099203,SEO Product Manager,UrbanPro.com,"Bengaluru, Karnataka, India",5 days ago,Over 100 applicants,,,On-site Full-time,51-200 employees,,"Cross-functional Team Leadership, Data Analysis, Product Development, Product Management, Research Skills, and Search Engine Optimization (SEO)"
19Jun2024-15:16:27,250,3938882499,Data Scientist,Coinbase,"Bengaluru, Karnataka, India",Reposted 2 weeks ago,Over 100 applicants,,,Full-time Entry level,"1,001-5,000 employees",Internet Publishing,"Analytical Skills, Communication, Computer Science, Data Science, Key Metrics, Mathematics, Natural Language Processing (NLP), Physics, Predictive Analytics, and SQL"
19Jun2024-15:16:29,250,3883388337,AI Security officer,Infosys,"Bengaluru East, Karnataka, India",Reposted 3 weeks ago,Over 100 applicants,,,On-site Full-time Entry level,"10,001+ employees",IT Services and IT Consulting,"Coding Experience, Problem Solving, Security, and Security Operations"
19Jun2024-15:16:31,250,3934366392,Big Data Engineer,Fractal,"Bengaluru, Karnataka, India",3 weeks ago,Over 100 applicants,,,On-site Full-time Entry level,"1,001-5,000 employees",Business Consulting and Services,"Apache Impala, Apache Spark, Data Engineering, Hadoop, Hive, PySpark, Python (Programming Language), Scala, Scripting, and Sqoop"
19Jun2024-15:16:33,250,3947921359,"Junior, Data Scientist",Hudson's Bay Company India,"Bengaluru, Karnataka, India",1 week ago,Over 100 applicants,,,Full-time Entry level,"1,001-5,000 employees",Retail,"Communication, Computer Science, Data Analysis, Data Analytics, Data Science, Databases, Predictive Analytics, Problem Solving, SQL, and Statistics"
19Jun2024-15:16:35,250,3939080059,Junior Data Scientist - Machine Learning/Artificial Intelligence,Aptus Data Labs,"Bengaluru, Karnataka, India",2 weeks ago,Over 100 applicants,,,On-site Full-time Entry level,51-200 employees,IT Services and IT Consulting,"Algorithms, Artificial Intelligence (AI), Communication, Data Preparation, Data Science, Machine Learning, Natural Language Processing (NLP), Predictive Analytics, SQL, and Statistical Modeling"
19Jun2024-15:16:37,250,3933457125,Associate - Forecasting,AstraZeneca,"Bengaluru East, Karnataka, India",2 weeks ago,Over 100 applicants,,,Full-time Entry level,"10,001+ employees",Pharmaceutical Manufacturing,"Analytical Skills, Business Reviews, Communication, Data Analysis, Data Analytics, Forecasting, Performance Reporting, Pharmaceuticals, Secondary Data Analysis, and Sphere"
19Jun2024-15:16:39,250,3947024892,Machine Learning Engineer 2,TELUS International AI Data Solutions,"Bengaluru, Karnataka, India",1 week ago,Over 100 applicants,,,On-site Full-time Entry level,"10,001+ employees",IT Services and IT Consulting,"Amazon Web Services (AWS), Applied Mathematics, Computer Science, Google Cloud Platform (GCP), JavaScript, Machine Learning, Mathematics, Microsoft Azure, Natural Language Processing (NLP), PyTorch, Python (Programming Language), and TensorFlow"
19Jun2024-15:16:46,250,3947921359,"Junior, Data Scientist",Hudson's Bay Company India,"Bengaluru, Karnataka, India",1 week ago,Over 100 applicants,,,Full-time Entry level,"1,001-5,000 employees",Retail,"Communication, Computer Science, Data Analysis, Data Analytics, Data Science, Databases, Predictive Analytics, Problem Solving, SQL, and Statistics"
19Jun2024-15:16:48,250,3939080059,Junior Data Scientist - Machine Learning/Artificial Intelligence,Aptus Data Labs,"Bengaluru, Karnataka, India",2 weeks ago,Over 100 applicants,,,On-site Full-time Entry level,51-200 employees,IT Services and IT Consulting,"Algorithms, Artificial Intelligence (AI), Communication, Data Preparation, Data Science, Machine Learning, Natural Language Processing (NLP), Predictive Analytics, SQL, and Statistical Modeling"
19Jun2024-15:16:50,250,3933457125,Associate - Forecasting,AstraZeneca,"Bengaluru East, Karnataka, India",2 weeks ago,Over 100 applicants,,,Full-time Entry level,"10,001+ employees",Pharmaceutical Manufacturing,"Analytical Skills, Business Reviews, Communication, Data Analysis, Data Analytics, Forecasting, Performance Reporting, Pharmaceuticals, Secondary Data Analysis, and Sphere"
19Jun2024-15:16:52,250,3947024892,Machine Learning Engineer 2,TELUS International AI Data Solutions,"Bengaluru, Karnataka, India",1 week ago,Over 100 applicants,,,On-site Full-time Entry level,"10,001+ employees",IT Services and IT Consulting,"Amazon Web Services (AWS), Applied Mathematics, Computer Science, Google Cloud Platform (GCP), JavaScript, Machine Learning, Mathematics, Microsoft Azure, Natural Language Processing (NLP), PyTorch, Python (Programming Language), and TensorFlow"
19Jun2024-15:16:54,250,3935489815,AWS Data Architect,Infosys,"Bengaluru East, Karnataka, India",Reposted 1 day ago,93 applicants,,,On-site Full-time Entry level,"10,001+ employees",IT Services and IT Consulting,"Amazon Redshift, Client Interfacing Skills, Critical Thinking, Data Analytics, Data Modeling, Data Warehousing, Databases, Extract, Transform, Load (ETL), Problem Solving, and SQL"
19Jun2024-15:16:56,250,3937238217,Artificial Intelligence Engineer - LLM/ChatGPT,Binocs,"Bengaluru, Karnataka, India",2 weeks ago,Over 100 applicants,,,Full-time Entry level,51-200 employees,Software Development,"Artificial Intelligence (AI), ChatGPT, Computer Science, Microservices, Natural Language Processing (NLP), Pattern Recognition, Programming, Prompt Engineering, Reliability, and Serverless Computing"
19Jun2024-15:16:58,250,3940822721,AZURE AI and ML Engineer,Ascendhub Consulting Services Private Limited,"Bengaluru, Karnataka, India",1 week ago,Over 100 applicants,,,On-site Full-time,11-50 employees,,"Artificial Intelligence (AI), Communication, Computer Science, Databases, Datasets, Deep Learning, Problem Solving, Security Assertion Markup Language (SAML), Vector, and Vector Databases"
19Jun2024-15:17:00,250,3939494400,Business Analyst - Data Analytics,Programming.com,"Bengaluru, Karnataka, India",1 week ago,Over 100 applicants,,,On-site Full-time Entry level,"1,001-5,000 employees",IT Services and IT Consulting,"Analytics, Business Analysis, Communication, Data Analytics, Data Visualization, Documentation, External Communications, Internal and External Communications, Problem Solving, and Project Management"
19Jun2024-15:17:02,250,3945397376,Senior Analyst -ESG,Apex Group Ltd (India Branch),"Bengaluru, Karnataka, India",1 week ago,36 applicants,,,Full-time Entry level,"10,001+ employees",Financial Services,"Analytical Skills, Business Insights, Data Analysis, Data Analytics, Data Research, Environmental, Social, and Governance (ESG), Independent Research, Product Demonstration, Research Projects, and Soft Skills"
19Jun2024-15:17:04,250,3937571936,AI/ML Engineer (OpenAI/Gemini/Large Language Models),Sustainability Economics,"Bengaluru, Karnataka, India",2 weeks ago,Over 100 applicants,,,On-site Full-time,11-50 employees,,"Business Requirements, Communication, Gemini, Interfaces, Interpersonal Communication, Natural Language Processing (NLP), Pattern Recognition, Problem Solving, Python (Programming Language), and Speech Recognition"
19Jun2024-15:17:06,250,3945211381,Data Science & ML Engineer,RentoMojo,"Bengaluru, Karnataka, India",1 week ago,Over 100 applicants,,,₹800K/yr - ₹1.2M/yr On-site Full-time Entry level,"501-1,000 employees",Internet Publishing,"Communication, Data Analytics, Data Science, Datasets, NumPy, Optimization, Pandas (Software), Predictive Modeling, Presentation Skills, and Problem Solving"
19Jun2024-15:17:08,250,3945730459,GCP Data & BI SME,Deutsche Bank,"Bengaluru, Karnataka, India",1 week ago,61 applicants,,,On-site Full-time Entry level,"10,001+ employees",Financial Services,"Analytics, Data Analytics, Data Governance, Data Management, Data Models, Data Warehousing, Dimensional Modeling, PL/SQL, Technical Specs, and Warehouse Operations"
19Jun2024-15:17:10,250,3922136844,Experience Associate / RFI Associate (hybrid),Fortrea,"Bengaluru East, Karnataka, India",Reposted 2 weeks ago,Over 100 applicants,,,On-site Full-time Entry level,"10,001+ employees",Hospitals and Health Care,"Attention to Detail, Business Requirements, Clinical Development, Clinical Pharmacology, Communication, Computer Literacy, Customer Service, Data Research, Microsoft Outlook, and Pharmacology"
19Jun2024-15:17:12,250,3909206689,Data Governance Specialist,Synopsys Inc,"Bengaluru, Karnataka, India",Reposted 3 weeks ago,Over 100 applicants,,,Full-time Entry level,"10,001+ employees",Software Development,"Analytical Skills, Attention to Detail, Data Analysis, Data Analytics, Data Governance, Data Integrity, Data Quality, Data Science, Problem Solving, and Salesforce.com"
19Jun2024-15:17:14,250,3940405069,Data Engineer - Target India,Target,"Bengaluru, Karnataka, India",2 weeks ago,Over 100 applicants,,,On-site Full-time Entry level,"10,001+ employees",Retail,"Apache Spark, Azure Data Factory, Big Data, Data Engineering, Hive, Java, PySpark, Python (Programming Language), SQL, and Scala"
19Jun2024-15:17:16,250,3939418929,Machine Learning Engineer,MeetRecord,"Bengaluru, Karnataka, India",2 weeks ago,Over 100 applicants,,,On-site Full-time,11-50 employees,,"Algorithms, Computer Science, Computer Vision, Data Engineering, Deep Learning, Image Processing, Keras, Machine Learning Algorithms, Natural Language Processing (NLP), and TensorFlow"
19Jun2024-15:17:18,250,3933140055,Python Developer,NEXTGEN Innovation Labs,"Bangalore North Rural, Karnataka, India",3 weeks ago,Over 100 applicants,,,On-site Full-time Entry level,201-500 employees,IT Services and IT Consulting,"Back-End Web Development, Cascading Style Sheets (CSS), Code Review, Coding Standards, High Performance Computing (HPC), Problem Solving, Python (Programming Language), Software Architecture, Sprint Planning, and Technical Documentation"
19Jun2024-15:17:20,250,3924734922,Data Analyst,UST,"Bengaluru, Karnataka, India",Reposted 2 weeks ago,Over 100 applicants,,,Full-time Entry level,"10,001+ employees",IT Services and IT Consulting,"Analytics, Attention to Detail, Communication, Data Analytics, Data Science, Data Visualization, Macros, Pivot Tables, Problem Solving, and Visualization"
19Jun2024-15:17:22,250,3908458951,Analyst - Regulatory Analytics and Insights,Elanco,"Bengaluru East, Karnataka, India",Reposted 3 weeks ago,Over 100 applicants,,,On-site Full-time Entry level,"5,001-10,000 employees",Pharmaceutical Manufacturing,"DAX, Data Analytics, Data Models, Datasets, Query Writing, Regulatory Reporting, Regulatory Requirements, Reporting Requirements, Stored Procedures, and User Requirements"
19Jun2024-15:17:24,250,3946043521,Sales MIS,The Right Life,"Bengaluru, Karnataka, India",1 week ago,Over 100 applicants,,,On-site Full-time,11-50 employees,,"Account Management, Business-to-Business (B2B), Customer Satisfaction, Direct Sales, Management Information Systems (MIS), Marketing, Negotiation, Sales Management, Sales Operations, and Sales Processes"
19Jun2024-15:17:26,250,3936113055,Industrial Data Scientist,GE Digital,"Bengaluru East, Karnataka, India",3 weeks ago,Over 100 applicants,,,Full-time Entry level,"1,001-5,000 employees",Software Development,"Analytics, Business Metrics, Computer Science, Data Analytics, Data Assessment, Data Cleaning, Data Science, Mathematics, Predictive Analytics, and Presentations"
19Jun2024-15:17:28,250,3934540545,Job Opening for Data Retention _ Wipro,Incluziv (A Gig Consultants Initiative),"Bangalore Urban, Karnataka, India",3 weeks ago,57 applicants,,,On-site Full-time Entry level,11-50 employees,Human Resources Services,"Computer Science, Data Analysis, Data Analytics, Data Destruction, Data Governance, Data Management, Data Privacy, Data Retention, Legal Requirements, and Organization Skills"
19Jun2024-15:17:35,250,3920854450,Data Engineer,Koch Industries,"Bengaluru, Karnataka, India",Reposted 2 weeks ago,Over 100 applicants,,,On-site Full-time Entry level,"10,001+ employees",Oil and Gas,"Data Engineering, Data Science, Data Warehousing, Databases, and Extract, Transform, Load (ETL)"
19Jun2024-15:17:37,250,3914440536,BI Einstein Developer,Koch Industries,"Bengaluru, Karnataka, India",Reposted 6 days ago,Over 100 applicants,,,On-site Full-time Entry level,"10,001+ employees",Oil and Gas,"DAX, Dashboards, Data Analytics, Databases, Extract, Transform, Load (ETL), Microsoft Power BI, Oracle SQL Developer, QlikView, SQL Server Analysis Services (SSAS), and Transact-SQL (T-SQL)"
19Jun2024-15:17:39,250,3950772645,Data Scientist,Digimoksha Solutions,"Bagalur, Karnataka, India",4 days ago,Over 100 applicants,,,On-site Full-time Entry level,11-50 employees,IT Services and IT Consulting,"Business Requirements, Communication, Customer Requirements, Data Engineering, Data Science, Deep Learning, Natural Language Processing (NLP), Predictive Analytics, Statistical Data Analysis, and Technical Specs"
19Jun2024-15:17:41,250,3944437007,Data Engineer,sliQue Robotics,"Bengaluru, Karnataka, India",1 week ago,Over 100 applicants,,,On-site Full-time,11-50 employees,,"Communication, Data Engineering, Data Quality, Data Warehousing, Extract, Transform, Load (ETL), Microsoft Azure, Oracle Database, Problem Solving, Programming Languages, and SQL"
19Jun2024-15:17:43,250,3941417174,Data Management Engineer,Koch Industries,"Bengaluru, Karnataka, India",2 weeks ago,37 applicants,,,On-site Full-time Entry level,"10,001+ employees",Oil and Gas,"Data Engineering, Data Science, Data Warehousing, Databases, and Extract, Transform, Load (ETL)"
19Jun2024-15:17:45,250,3828849151,Data Analyst Engineer,Ethos,"Bengaluru, Karnataka, India",Reposted 3 weeks ago,Over 100 applicants,,,On-site Full-time Entry level,201-500 employees,Insurance,"Analytics, Communication, Data Analytics, Data Modeling, Data Science, Data Validation, Data Visualization, SQL, Set Theory, and Visualization"
19Jun2024-15:17:47,250,3947003560,Data Scientist,Loyalytics AI,"Bengaluru East, Karnataka, India",1 week ago,Over 100 applicants,,,On-site Full-time Entry level,51-200 employees,Data Infrastructure and Analytics,"Analytical Skills, Computer Science, Data Science, Deep Learning, Natural Language Processing (NLP), Predictive Analytics, Price Optimization, Problem Solving, PySpark, and Retail Domain"
19Jun2024-15:17:49,250,3939497103,Interesting Job Opportunity: Data Scientist - Python/Machine Learning,Mobile Programming LLC,"Bengaluru, Karnataka, India",1 week ago,100 applicants,,,On-site Full-time Entry level,"1,001-5,000 employees",IT Services and IT Consulting,"Data Analytics, Data Manipulation, Data Science, Data Visualization, Matplotlib, Pandas (Software), Problem Solving, Seaborn, Statistical Concepts, and Unstructured Data"
19Jun2024-15:17:51,250,3944622026,Business Data Analyst,LG Ad Solutions,"Bengaluru, Karnataka, India",1 week ago,Over 100 applicants,,,On-site Full-time Entry level,201-500 employees,Advertising Services,"Analytical Skills, Analytics, Data Analytics, Data Visualization, Key Performance Indicators, Mathematics, Predictive Analytics, Problem Solving, Request for Information (RFI), and Request for Proposal (RFP)"
19Jun2024-15:17:53,250,3930030733,AWS Data Engineer,Infosys,"Bengaluru East, Karnataka, India",Reposted 1 week ago,Over 100 applicants,,,On-site Full-time Entry level,"10,001+ employees",IT Services and IT Consulting,"Amazon Redshift, Communication, Data Analytics, Data Engineering, Data Modeling, Data Warehousing, Databases, Extract, Transform, Load (ETL), Problem Solving, and SQL"
19Jun2024-15:17:55,250,3909206688,Data Governance Specialist,Synopsys Inc,"Bengaluru, Karnataka, India",Reposted 3 weeks ago,Over 100 applicants,,,Full-time Entry level,"10,001+ employees",Software Development,"Analytical Skills, Attention to Detail, Data Analysis, Data Analytics, Data Governance, Data Integrity, Data Quality, Data Science, Problem Solving, and Salesforce.com"
19Jun2024-15:17:57,250,3921894682,Data Analyst Business Operations International,Elanco,"Bengaluru East, Karnataka, India",Reposted 2 weeks ago,Over 100 applicants,,,On-site Full-time Entry level,"5,001-10,000 employees",Pharmaceutical Manufacturing,"Analytical Skills, Analytics, Business Analysis, Data Analytics, Data Modeling, Data Reporting, Data Science, Data Visualization, Databases, and Statistics"
19Jun2024-15:17:59,250,3947021261,Decision Science,Fractal,"Bengaluru, Karnataka, India",1 week ago,Over 100 applicants,,,On-site Full-time Entry level,"1,001-5,000 employees",Business Consulting and Services,"Business Logic, Communication, Computer Science, Customer Engagement, Insight Generation, Product Analytics, Risk Analysis, SQL, Sensitivity, and Statistical Tools"
19Jun2024-15:18:01,250,3883388319,Gen AI- Developer,Infosys,"Bengaluru East, Karnataka, India",Reposted 3 weeks ago,Over 100 applicants,,,On-site Full-time Entry level,"10,001+ employees",IT Services and IT Consulting,"Analytical Skills, Artificial Intelligence (AI), Client Interfacing Skills, Configuration Management, Critical Thinking, Data Science, Pattern Recognition, Problem Solving, Software Configuration Management, and Statistical Analysis"
19Jun2024-15:18:03,250,3948045059,Medical Data Curation Doctor,nference,"Bengaluru, Karnataka, India",1 week ago,Over 100 applicants,,,On-site Full-time Entry level,201-500 employees,Biotechnology Research,"Biostatistics, Electronic Health Records (EHR), Python (Programming Language), SQL, and User Stories"
19Jun2024-15:18:05,250,3932183081,Data Specialist,Tekion Corp,"Bengaluru, Karnataka, India",3 weeks ago,Over 100 applicants,,,On-site Full-time Entry level,"1,001-5,000 employees",Software Development,"Automotive, Automotive Repair, Data Entry, Data Feeds, Data Management, Information Gathering, Mechanical Engineering, OEMs, Vehicle Maintenance, and Vehicles"
19Jun2024-15:18:07,250,3936221014,Industrial Data Scientist,GE Vernova,"Bengaluru, Karnataka, India",3 weeks ago,Over 100 applicants,,,Full-time Entry level,"10,001+ employees",Electric Power Generation,"Analytics, Business Metrics, Computer Science, Critical Thinking, Data Analytics, Data Assessment, Data Cleaning, Data Science, Predictive Analytics, and Presentations"
19Jun2024-15:18:09,250,3941159606,Analyst,slice,"Bengaluru, Karnataka, India",2 weeks ago,Over 100 applicants,,,On-site Full-time Entry level,"1,001-5,000 employees",Financial Services,"Analytical Skills, Communication, Data Analytics, Data Visualization, Microsoft Excel, Problem Solving, Python (Programming Language), SQL, Teamwork, and VBA Excel"
19Jun2024-15:18:11,250,3948543815,Associate - Marketplace,Myntra,"Bengaluru, Karnataka, India",6 days ago,71 applicants,,,On-site Full-time Entry level,"1,001-5,000 employees",Software Development,"Communication, Cross-functional Coordination, Data Analytics, and Stakeholder Management"
19Jun2024-15:18:13,250,3940905302,AI Educator,igebra.ai,"Bengaluru, Karnataka, India",2 weeks ago,52 applicants,,,On-site Full-time,51-200 employees,,"Artificial Intelligence (AI), Attention to Detail, Communication, Creative Content Creation, Education, Initiation, Job Skills, Presentation Skills, Problem Solving, and Professional Skills"
19Jun2024-15:18:15,250,3945904066,Data Management Specialist I,Honeywell,"Bengaluru, Karnataka, India",1 week ago,Over 100 applicants,,,On-site Full-time Entry level,"10,001+ employees","Appliances, Electrical, and Electronics Manufacturing","Attention to Detail, Business Insights, Communication, Data Analysis, Data Analytics, Data Management, Data Privacy, Data Quality, Privacy Regulations, and Problem Solving"
19Jun2024-15:18:17,250,3931390100,Data Analyst,UST,"Bengaluru, Karnataka, India",Reposted 6 days ago,Over 100 applicants,,,Full-time Entry level,"10,001+ employees",IT Services and IT Consulting,"Analytics, Communication, Dashboards, Data Analytics, Data Science, Data Visualization, Macros, Pivot Tables, Problem Solving, and Visualization"
19Jun2024-15:18:24,250,3920852472,Data Engineer,Koch Industries,"Bengaluru, Karnataka, India",Reposted 2 weeks ago,Over 100 applicants,,,On-site Full-time Entry level,"10,001+ employees",Oil and Gas,"Data Engineering, Data Science, Data Warehousing, Databases, and Extract, Transform, Load (ETL)"
19Jun2024-15:18:26,250,3944979486,Data Science,Spectral Consultants,"Bengaluru, Karnataka, India",1 week ago,Over 100 applicants,,,On-site Full-time Entry level,11-50 employees,Executive Search Services,"Artificial Intelligence (AI), Communication, Computer Science, Critical Thinking, Data Science, Generative AI, Mathematics, Problem Solving, Tenacious Work Ethic, and Written Communication"
19Jun2024-15:18:28,250,3941416245,Data Management Engineer,Koch Industries,"Bengaluru, Karnataka, India",2 weeks ago,41 applicants,,,On-site Full-time Entry level,"10,001+ employees",Oil and Gas,"Data Engineering, Data Science, Data Warehousing, Databases, and Extract, Transform, Load (ETL)"
19Jun2024-15:18:30,250,3906305504,Data Analyst,OpenCV University,"Bengaluru, Karnataka, India",Reposted 4 weeks ago,Over 100 applicants,,,On-site Full-time,11-50 employees,,"Analytical Skills, Data Analysis, Data Analytics, Data Modeling, Data Visualization, Databases, Extract, Transform, Load (ETL), Problem Solving, Statistics, and Teamwork"
