,date_time,search_count,job_id,job_title,company,location,update_time,applicants,job_time,job_level,job_type,company_size,company_industry,job_details,tokenized_details
0,17Jun2024-13:36:21,184,3941159606,Analyst,slice,"Bengaluru, Karnataka, India",1 week ago,Over 100 applicants,Full-time,Entry-level,On-site,"1,001-5,000 employees",Financial Services,"Analytical Skills, Communication, Data Analytics, Data Visualization, Microsoft Excel, Problem Solving, Python (Programming Language), SQL, Teamwork, and VBA Excel",
15,17Jun2024-13:41:13,184,3937831232,Data Analyst 2,myGwork - LGBTQ+ Business Community,"Bengaluru, Karnataka, India",2 weeks ago,Over 100 applicants,Full-time,Entry-level,,11-50 employees,"Technology, Information and Internet","Analytical Skills, Analytics, Communication, Dashboards, Data Analytics, Data Extraction, Data Modeling, Data Science, Data Visualization, and Visualization",
17,17Jun2024-13:41:44,184,3938839959,Media Analyst,LTIMindtree,"Bengaluru, Karnataka, India",Reposted 1 week ago,Over 100 applicants,Full-time,Entry-level,On-site,"10,001+ employees",IT Services and IT Consulting,"Ad Hoc Reporting, Analytical Skills, Analytics, Data Analytics, Data Monitoring, Digital Media, Marketing, Microsoft PowerPoint, Presentations, and Python (Programming Language)",
19,17Jun2024-13:42:15,184,3927435306,Analyst - DTS,Acuity Knowledge Partners,"Bengaluru, Karnataka, India",3 weeks ago,97 applicants,Full-time,Entry-level,On-site,"5,001-10,000 employees",Financial Services,"Analytical Skills, Analytics, Communication, Computer Science, Databases, Interpersonal Skills, Pressure Situations, Problem Solving, Skilled Multi-tasker, and User Defined Functions",
23,17Jun2024-13:43:37,184,3873649748,Engineering-Bengaluru-Analyst-Software Engineering,Goldman Sachs,"Bengaluru, Karnataka, India",Reposted 4 days ago,Over 100 applicants,Full-time,Entry-level,,"10,001+ employees",Financial Services,"Business Requirements, Data Models, Detailed Design, Implementation Plans, Process Simulation, Programming Concepts, Software Design, Technical Specs, User Acceptance Testing, and Work Process Development",
25,17Jun2024-13:44:18,184,3908458951,Analyst - Regulatory Analytics and Insights,Elanco,"Bengaluru East, Karnataka, India",Reposted 3 weeks ago,Over 100 applicants,Full-time,Entry-level,On-site,"5,001-10,000 employees",Pharmaceutical Manufacturing,"DAX, Data Analytics, Data Models, Datasets, Query Writing, Regulatory Reporting, Regulatory Requirements, Reporting Requirements, Stored Procedures, and User Requirements",
30,17Jun2024-13:46:20,184,3927481218,"Data Analyst, IN EasyShip",myGwork - LGBTQ+ Business Community,"Bengaluru, Karnataka, India",3 weeks ago,Over 100 applicants,Full-time,Entry-level,,11-50 employees,"Technology, Information and Internet","Analytical Skills, Analytics, Data Analytics, Data Mining, Data Science, Data Visualization, IBM SPSS, Pattern Recognition, SAS (Software), and SQL",
32,17Jun2024-13:46:52,184,3931031046,S&C Global Network - AI - Retail Analytics - Analyst,Accenture in India,"Bengaluru, Karnataka, India",Reposted 3 weeks ago,37 applicants,Full-time,Entry-level,On-site,"10,001+ employees",IT Services and IT Consulting,"Business Insights, Data Analytics, Data Lakes, Extract, Transform, Load (ETL), Insight Generation, Optimization Models, PySpark, Retail Sales Analysis, Statistical Modeling, and Unstructured Data",
33,17Jun2024-13:47:07,184,3926664243,Data Visualization Analyst - Tableau/Power BI,D Square Consulting Services Pvt Ltd,"Bengaluru, Karnataka, India",3 weeks ago,Over 100 applicants,Full-time,Entry-level,On-site,11-50 employees,Software Development,"Analytics, Communication, Dashboards, Data Analytics, Data Science, Data Visualization, Microsoft Power BI, Organization Skills, Tableau, and Visualization",
37,17Jun2024-13:48:55,184,3933168426,Performance Analyst,FERMÃ€T,"Bengaluru, Karnataka, India",3 weeks ago,28 applicants,Full-time,Entry-level,On-site,11-50 employees,"Technology, Information and Internet","Analytical Skills, Analytics, Attention to Detail, Communication, Contract Research Organization (CRO), Data Analysis, Data Analytics, E-Commerce, Facebook Ads, and Performance Analysis",
42,17Jun2024-13:51:14,184,3936959997,Business Analyst,myGwork - LGBTQ+ Business Community,"Bengaluru, Karnataka, India",2 weeks ago,97 applicants,Full-time,Entry-level,,11-50 employees,"Technology, Information and Internet","Analytical Skills, Business Analysis, Business Requirements, Capacity Planning, Data Analysis, Data Analytics, Data Science, IBM SPSS, Problem Solving, and SAS (Software)",
45,17Jun2024-13:52:31,184,3937730686,Business Analyst - ATS SNOP,myGwork - LGBTQ+ Business Community,"Bengaluru, Karnataka, India",2 weeks ago,21 applicants,Full-time,Entry-level,,11-50 employees,"Technology, Information and Internet","Analytical Support, Business Analysis, Capacity Planning, Data Analytics, IBM SPSS, Macros, Organization Skills, SAS (Software), SQL, and Written Communication",
58,17Jun2024-13:56:34,184,3933161047,Business Analyst,Accenture in India,"Bengaluru, Karnataka, India",Reposted 3 weeks ago,16 applicants,Full-time,Entry-level,On-site,"10,001+ employees",IT Services and IT Consulting,"Analytics, Business Process, Business Requirements, Business Solution, Communication, Computer System Validation, Computerized System Validation (CSV), Customer Requirements, Problem Solving, and Requirements Gathering",
64,17Jun2024-13:58:14,184,3931421440,"Analyst, FP&A",SitusAMC,"Bengaluru, Karnataka, India",3 weeks ago,Over 100 applicants,Full-time,Entry-level,On-site,"5,001-10,000 employees",Real Estate,"Allocations, Analytical Skills, Attention to Detail, Budgeting, Data Visualization, Finance, Financial Planning, Forecasting, Stakeholder Management, and Variance Analysis",
68,17Jun2024-13:59:31,184,3934427165,Business Analyst - Manufacturing,Kennametal,"Bengaluru, Karnataka, India",2 weeks ago,Over 100 applicants,Full-time,Entry-level,On-site,"10,001+ employees",Machinery Manufacturing,"Analytical Skills, Business Insights, Communication, Data Analysis, Data Analytics, Data Manipulation, Presentation Skills, Presentations, Problem Solving, and Statistical Modeling",
71,17Jun2024-14:00:18,184,3938530509,"Analyst, Import Planning",Molex,"Bengaluru, Karnataka, India",2 weeks ago,96 applicants,Full-time,Entry-level,On-site,"10,001+ employees","Appliances, Electrical, and Electronics Manufacturing","Cancellations, Communication, Critical Thinking, Delivery Performance, Demand Planning, Key Performance Indicators, Organization Skills, SAP Products, Statutory Accounting Principles (SAP), and Thinking Skills",
82,17Jun2024-14:04:57,184,3933276730,"Solution Analyst, Chemicals & Materials",GadflyZone,"Bengaluru, Karnataka, India",2 weeks ago,Over 100 applicants,Full-time,Entry-level,On-site,1-10 employees,Strategic Management Services,"Budgeting, Business Requirements, Communication, Industrial Marketing, Marketing Analytics, Polymers, Presentations, Problem Solving, Statistical Learning, and What-if Analysis",
8,16Jun2024-23:53:03,186,3937873410,Data Analyst - Marketplace & Omni channel,Myntra,"Bengaluru, Karnataka, India",2 weeks ago,Over 100 applicants,Full-time,Entry-level,On-site,"1,001-5,000 employees",Software Development,,
12,16Jun2024-23:54:16,186,3941159606,Analyst,,,,,Full-time,Entry-level,On-site,"1,001-5,000 employees",Financial Services,,
17,16Jun2024-23:55:47,186,3931390100,Data Analyst,UST,"Bengaluru, Karnataka, India",Reposted 4 days ago,Over 100 applicants,Full-time,Entry-level,,"10,001+ employees",IT Services and IT Consulting,,
19,16Jun2024-23:56:18,186,3887723749,Senior Business Analyst - Data Science,Trinity Life Sciences,"Bengaluru, Karnataka, India",Reposted 3 weeks ago,Over 100 applicants,Full-time,Entry-level,,"501-1,000 employees",Business Consulting and Services,,
27,16Jun2024-23:59:16,186,3936699400,RE-IGNITE Associate : Financial Data Analyst,myGwork - LGBTQ+ Business Community,"Bengaluru, Karnataka, India",2 weeks ago,14 applicants,Full-time,Entry-level,,11-50 employees,"Technology, Information and Internet",,
